Unnamed: 0,Patent_ID,h_mol,b_mol,ligand,reagent,solvent,rxn_yield,mass_label
2211,US06384220B2,Br[c:2]1[cH:3][cH:4][c:5]([CH:8]([C:9](=[O:10])[NH:11][c:12]2[s:13][cH:14][cH:15][n:16]2)[CH2:17][CH:18]2[CH2:19][CH2:20][CH2:21][CH2:22]2)[cH:6][cH:7]1,OB(O)[c:24]1[s:23][cH:27][cH:26][cH:25]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],COCCOC,4.0,0
2212,US06384220B2,I[c:14]1[cH:13][cH:12][c:11]([CH:4]([C:3]([O:2][CH3:1])=[O:18])[CH2:5][CH:6]2[CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:16][cH:15]1,OB(O)[c:21]1[cH:20][n:19][cH:24][cH:23][cH:22]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.ClCCl.COCCOC,92.0,0
2213,US06384220B2,I[c:14]1[cH:13][cH:12][c:11]([CH:4]([C:3]([O:2][CH3:1])=[O:18])[CH2:5][CH:6]2[CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:16][cH:15]1,OB(O)[c:22]1[cH:21][cH:20][n:19][cH:24][cH:23]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.ClCCl.COCCOC,28.0,0
2214,US06384220B2,I[c:14]1[cH:13][cH:12][c:11]([CH:4]([C:3]([O:2][CH3:1])=[O:18])[CH2:5][CH:6]2[CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:16][cH:15]1,OB(O)[c:24]1[cH:23][c:22]2[cH:21][cH:20][nH:19][c:27]2[cH:26][cH:25]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.ClCCl.COCCOC,36.0,0
2215,US06391907B1,Br[c:2]1[cH:3][c:4]2[c:8]([cH:9][cH:10]1)[NH:7][C:6](=[O:11])[C:5]2([CH3:12])[O:13][CH3:14],OB(O)[c:18]1[cH:17][c:16]([Cl:15])[cH:21][cH:20][cH:19]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],[Na+].[OH-],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.COCCOC,29.0,0
2216,US06391907B1,Br[c:2]1[cH:3][c:4]2[c:8]([cH:9][cH:10]1)[NH:7][C:6](=[O:11])[C:5]2([C:12]#[C:13][CH3:14])[O:15][CH3:16],OB(O)[c:20]1[cH:19][c:18]([Cl:17])[cH:23][cH:22][cH:21]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],[Na+].[OH-],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.COCCOC,15.0,0
2217,US06391907B1,Br[c:2]1[cH:3][c:4]2[c:8]([cH:9][cH:10]1)[NH:7][C:6](=[O:11])[CH2:5]2,OB(O)[c:15]1[cH:14][c:13]([Cl:12])[cH:18][cH:17][cH:16]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.COCCOC,86.0,0
2218,US06391907B1,Br[c:2]1[cH:3][c:4]2[c:8]([cH:9][cH:10]1)[NH:7][C:6](=[O:11])[C:5]2([CH3:12])[CH3:13],OB(O)[c:17]1[cH:16][c:15]([Cl:14])[c:20]([F:21])[cH:19][cH:18]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[K+].[K+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.COCCOC,30.0,0
2219,US06395766B1,Br[c:2]1[cH:3][n:4](-[c:14]2[n:15][cH:16][cH:17][cH:18][cH:19]2)[c:5]2[c:10]1[C:9](=[O:11])[CH2:8][C:7]([CH3:12])([CH3:13])[CH2:6]2,OB(O)[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=C([O-])[O-].[K+].[K+],O=S(=O)([O-])[O-].[Mg+2]",O.ClCCl.COCCOC,61.0,0
2220,US06395766B1,Br[c:2]1[cH:3][n:4](-[c:14]2[n:15][cH:16][cH:17][cH:18][cH:19]2)[c:5]2[c:10]1[C:9](=[O:11])[CH2:8][C:7]([CH3:12])([CH3:13])[CH2:6]2,OB(O)[c:30]1[cH:29][cH:28][c:27]([Cl:26])[cH:32][cH:31]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Cs+].[Cs+],O=S(=O)([O-])[O-].[Mg+2]",O.ClCCl.COCCOC,11.0,0
2221,US06410562B1,Br[c:2]1[s:3][c:4]2[c:5]([cH:6]1)[cH:7][c:8]([Cl:11])[cH:9][cH:10]2,OB(O)[c:14]1[c:13]([Cl:12])[cH:18][cH:17][cH:16][cH:15]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",O.CCOC(C)=O.COCCOC,95.0,0
2222,US06410562B1,Cl[c:2]1[n:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[cH:10][c:11]1[CH:12]=[O:13],OB(O)[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],CCOC(C)=O.C1COCCO1,90.0,0
2223,US06414149B1,O=S(=O)(O[c:13]1[cH:12][cH:11][c:10]2[c:15]([cH:14]1)[CH2:16][CH2:17][N:8]([C:6]([O:5][C:1]([CH3:2])([CH3:3])[CH3:4])=[O:7])[CH2:9]2)C(F)(F)F,OB(O)[c:28]1[cH:27][s:26][cH:30][cH:29]1,c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=C([O-])O.[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",CCOC(C)=O.CCO.Cc1ccccc1,100.0,0
2224,US06417202B1,Br[c:7]1[n:6]([CH2:11][O:12][CH2:13][CH2:14][Si:15]([CH3:16])([CH3:17])[CH3:18])[c:5]([CH3:19])[c:4]([C:1]([CH3:2])=[O:3])[c:8]1[CH3:9],CCB(CC)[c:23]1[cH:24][cH:25][n:26][cH:27][cH:28]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,[K+].[OH-],Cc1ccccc1,36.0,0
2225,US06417202B1,Br[c:6]1[c:5]([CH3:16])[c:4]([C:1]([CH3:2])=[O:3])[c:8](-[c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[nH:7]1,OB(O)[c:20]1[cH:19][cH:18][n:17][cH:22][cH:21]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])O.[Na+],[K+].[OH-],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.ClCCl.COCCOC,30.0,0
2226,US06417202B1,Br[c:2]1[c:3]([CH3:17])[c:4]([C:13](=[O:14])[O:15][CH3:16])[c:5](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[nH:6]1,OB(O)[c:21]1[cH:20][cH:19][n:18][cH:23][cH:22]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])O.[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",ClCCl.COCCOC,46.0,0
2227,US06420365B1,Br[c:2]1[cH:3][cH:4][c:5]([O:38][CH3:39])[c:6]([CH2:8][c:9]2[c:10]([CH2:18][N:19]([C:20](=[O:21])[c:22]3[c:23]([Cl:32])[c:24]([O:30][CH3:31])[c:25]([O:28][CH3:29])[cH:26][cH:27]3)[CH2:33][CH2:34][CH:35]([CH3:36])[CH3:37])[n:11][c:12]3[n:13]2[cH:14][cH:15][cH:16][cH:17]3)[cH:7]1,OB(O)[c:42]1[cH:41][n:40][cH:45][cH:44][cH:43]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[K+].[K+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",Cc1ccccc1.ClCCl,89.0,0
2228,US06441004B1,Br[c:2]1[cH:3][c:4]2[cH:5][c:6]([C:20](=[O:21])[O:22][CH2:23][CH3:24])[n:7]([CH2:11][c:12]3[cH:13][c:14]([Cl:19])[c:15]([Cl:18])[cH:16][cH:17]3)[c:8]2[cH:9][cH:10]1,OB(O)[c:30]1[cH:29][cH:28][c:27]([N:26]([CH3:25])[CH3:36])[cH:32][cH:31]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=S(=O)([O-])[O-].[Mg+2],CCOC(C)=O,76.0,0
2229,US06448295B1,Br[c:9]1[cH:10][o:11][cH:12][cH:13]1,OB(O)[c:18]1[cH:17][c:16]([CH:14]=[O:15])[cH:21][cH:20][cH:19]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[K+].[K+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CN(C)C=O.Cc1ccccc1.CCOC(C)=O,10.0,0
2230,US06455525B1,Br[c:2]1[c:3]2[c:4]([CH:12]=[O:13])[cH:5][n:6]([CH3:11])[c:7]2[cH:8][cH:9][cH:10]1,OB(O)[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CN(C)C=O.CCOC(C)=O,79.0,0
2231,US06472372B1,Br[c:19]1[n:20][cH:21][cH:22][cH:23][cH:24]1,OB(O)[c:11]1[cH:10][c:9]([CH:7]=[O:8])[cH:14][cH:13][cH:12]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=C([O-])O.[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",Cc1ccccc1.ClCCl.CO,89.0,0
2232,US06472545B2,Br[c:2]1[cH:3][c:4]([Cl:22])[c:5]([O:6][C@@H:7]([C:8](=[O:9])[O:10][CH3:11])[CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[c:19]([Cl:21])[cH:20]1,OB(O)[c:26]1[cH:25][cH:24][cH:23][c:31]2[c:27]1[o:28][c:29]1[c:30]2[cH:32][cH:33][cH:34][cH:35]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],Cc1ccccc1,91.0,0
2233,US06476030B1,Br[c:2]1[c:3]([O:18][CH2:19][c:20]2[n:21]([CH3:25])[n:22][cH:23][n:24]2)[n:4][n:5]2[c:6](-[c:11]3[c:12]([F:17])[cH:13][cH:14][cH:15][cH:16]3)[n:7][n:8][cH:9][c:10]12,OB(O)[c:30]1[cH:29][c:28]([C:27]([F:26])([F:37])[F:38])[cH:33][cH:32][cH:31]1,CC(C)(C)P(C(C)(C)C)C(C)(C)C,"O=C([O-])[O-].[Cs+].[Cs+],[Cl-].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",CCOC(C)=O.C1COCCO1,81.0,0
2234,US06476038B1,I[c:19]1[c:15]2[n:14][c:13]([CH3:22])[cH:12][c:11]([NH:10][CH2:9][CH2:8][N:7]([C:6]([O:5][C:1]([CH3:2])([CH3:3])[CH3:4])=[O:28])[CH:23]3[CH2:24][CH2:25][CH2:26][CH2:27]3)[n:16]2[n:17][c:18]1[CH3:21],OB(O)[c:31]1[c:30]([Cl:29])[c:35]([Cl:36])[cH:34][cH:33][cH:32]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],CCO.Cc1ccccc1,60.0,0
2235,US06479506B1,Br[c:15]1[c:14]([O:18][CH2:19][c:20]2[n:21]([CH3:25])[n:22][cH:23][n:24]2)[n:13][c:12]2[n:8](-[c:3]3[c:2]([F:1])[cH:7][cH:6][cH:5][cH:4]3)[n:9][n:10][c:11]2[cH:16]1,OB(O)[c:28]1[cH:27][s:26][cH:30][cH:29]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Cs+].[Cs+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",CN(C)C=O.CCOC(C)=O.O,59.0,0
2236,US06486141B2,Br[c:2]1[cH:3][c:4]2[cH:5][cH:6][c:7]([CH3:20])[n:8][c:9]2[c:10]([P:12]([O:13][CH2:14][CH3:15])([O:16][CH2:17][CH3:18])=[O:19])[cH:11]1,OB(O)[c:26]1[cH:25][cH:24][c:23]([CH2:22][OH:21])[cH:28][cH:27]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])O.[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.Cc1ccccc1,79.0,0
2238,US06492385B2,Br[c:2]1[s:3][c:4]([Cl:7])[cH:5][cH:6]1,OB(O)[c:13]1[cH:12][cH:11][c:10]([CH:8]=[O:9])[s:14]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCO,24.0,0
2239,US06492385B2-US06919359B2,Br[c:15]1[n:14][cH:13][c:12]([C:10]([O:9][CH2:7][CH3:8])=[O:11])[s:16]1,OB(O)[c:20]1[c:19]([F:18])[cH:24][cH:23][cH:22][cH:21]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],[Na+].[OH-]",CCOC(C)=O.COCCOC,37.0,0
2240,US06498166B1,Br[c:2]1[c:3](-[c:13]2[cH:14][cH:15][c:16]([F:19])[cH:17][cH:18]2)[n:4][n:5]2[c:6]1[cH:7][cH:8][c:9]([C:11]#[N:12])[cH:10]2,OB(O)[c:27]1[cH:26][cH:25][c:24]([S:21]([CH3:20])(=[O:22])=[O:23])[cH:29][cH:28]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=P([O-])([O-])[O-].[K+].[K+].[K+],O.[Cl-].[Na+]",O.CN(C)C=O.CCOC(C)=O,6.0,0
2241,US06503939B2,Br[c:2]1[cH:3][c:4]2[c:8]([cH:9][cH:10]1)[NH:7][CH2:6][C:5]2([CH3:11])[CH3:12],OB(O)[c:18]1[cH:17][c:16]([N+:13](=[O:14])[O-:15])[cH:21][cH:20][cH:19]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],O.COCCOC,60.0,0
2242,US06506747B1,Br[c:14]1[n:10](-[c:7]2[cH:6][cH:5][c:4]([N+:1](=[O:2])[O-:3])[cH:9][cH:8]2)[n:11][c:12]([CH3:16])[cH:13]1,OB(O)[c:22]1[cH:21][cH:20][c:19]([O:18][CH3:17])[cH:24][cH:23]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O,94.0,0
2244,US06509334B1,Br[c:6]1[cH:5][c:4]([F:10])[c:3]([C:1]#[N:2])[cH:8][cH:7]1,OB(O)[c:19]1[cH:18][c:17]2[c:16]([cH:21][cH:20]1)[NH:15][C:14](=[O:25])[O:13][C:12]2([CH3:11])[CH3:26],c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],[Na+].[OH-],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.COCCOC,6.0,0
2245,US06515003B1,Br[c:2]1[c:3]([O:10][CH3:11])[cH:4][cH:5][c:6]([CH:8]=[O:9])[n:7]1,OB(O)[c:14]1[c:13]([CH3:12])[cH:22][c:21]2[c:16]([cH:15]1)[C:17]([CH3:25])([CH3:26])[CH2:18][CH2:19][C:20]2([CH3:23])[CH3:24],c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[K+].[K+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.COCCOC,75.0,0
2246,US06515003B1,Br[c:2]1[c:3]([CH3:18])[cH:4][c:5]2[c:10]([cH:11]1)[N:9]([CH:12]([CH3:13])[CH3:14])[CH2:8][CH2:7][N:6]2[CH:15]([CH3:16])[CH3:17],OB(O)[c:22]1[c:21]([O:20][CH3:19])[cH:26][cH:25][c:24]([CH:27]=[O:28])[cH:23]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[K+].[K+],[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.COCCOC,57.0,0
2247,US06518260B1,Br[c:2]1[cH:3][cH:4][c:5]([CH2:8][CH:9]([C:10](=[O:11])[O:12][CH2:13][CH3:14])[CH2:15][P:16](=[O:17])([CH:18]([CH2:19][c:20]2[cH:21][cH:22][cH:23][cH:24][cH:25]2)[NH:26][C:27](=[O:28])[O:29][CH2:30][c:31]2[cH:32][cH:33][cH:34][cH:35][cH:36]2)[OH:37])[cH:6][cH:7]1,OB(O)[c:38]1[cH:39][cH:40][cH:41][cH:42][cH:43]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],CCOC(C)=O,90.4,0
2248,US06214991B1,Br[c:2]1[cH:3][c:4]2[c:5]([CH2:17][C:18]#[N:19])[cH:6][n:7]([CH2:11][C:12](=[O:13])[O:14][CH2:15][CH3:16])[c:8]2[cH:9][cH:10]1,OB(O)[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],[Cl-].[Na+]",O.CCOC(C)=O.COCCOC,45.0,0
2249,US06521754B2,I[c:2]1[cH:3][c:4]([O:11][CH3:12])[cH:5][c:6]([N+:8](=[O:9])[O-:10])[cH:7]1,OB(O)[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[K+].[K+],CCO.Cc1ccccc1,81.0,0
2250,US06531477B1,Br[c:24]1[cH:23][cH:22][c:21]([CH2:20][c:16]2[n:15][c:14]3[n:10](-[c:3]4[c:2]([Cl:1])[cH:7][c:6]([Cl:8])[cH:5][c:4]4[Cl:9])[nH:11][c:12]([CH2:28][CH3:29])[c:13]-3[c:18](=[O:19])[n:17]2)[cH:26][cH:25]1,OB(O)[c:35]1[cH:34][cH:33][c:32]([O:31][CH3:30])[cH:37][cH:36]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCO.Cc1ccccc1,59.0,0
2251,US06531502B1,Br[c:2]1[cH:3][c:4]([CH:5]=[C:6]2[C:7](=[O:15])[NH:8][c:9]3[cH:10][cH:11][cH:12][cH:13][c:14]32)[cH:16][cH:17][c:18]1[O:19][CH3:20],OB(O)[c:29]1[cH:28][s:27][cH:31][cH:30]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=C([O-])O.[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",CCO.Cc1ccccc1.O.CCOC(C)=O.ClCCl,50.0,0
2252,US06531491B1,I[c:2]1[cH:3][cH:4][c:5]2[c:6]([CH:19]=[CH:20][c:21]3[cH:22][cH:23][cH:24][cH:25][cH:26]3)[n:7][n:8]([CH2:11][O:12][CH2:13][CH2:14][Si:15]([CH3:16])([CH3:17])[CH3:18])[c:9]2[cH:10]1,OB(O)[c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",CCOC(C)=O.C1COCCO1,81.0,0
2253,US06548493B1,Br[c:2]1[cH:3][c:4]2[c:8]3[c:9]([cH:10]1)[CH2:11][CH2:12][N:7]3[C@@H:6]1[C@H:5]2[CH2:16][N:15]([C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[CH2:14][CH2:13]1,OB(O)[c:30]1[c:29]([C:36]([F:37])([F:38])[F:39])[cH:28][c:27]([O:26][CH2:24][CH3:25])[cH:32][cH:31]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.COCCOC,57.0,0
2254,US06548493B1,Br[c:2]1[cH:3][c:4]2[c:8]3[c:9]([cH:10]1)[CH2:11][CH2:12][N:7]3[C@@H:6]1[C@H:5]2[CH2:16][N:15]([C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[CH2:14][CH2:13]1,OB(O)[c:27]1[c:26]([CH:24]=[O:25])[cH:31][c:30]([O:32][CH3:33])[cH:29][cH:28]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O.O.O.O.O.O.O.O.[Ba+2].[OH-].[OH-],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.COCCOC,41.0,0
2255,US06552017B1,Br[c:2]1[cH:3][c:4]2[c:5]3[c:10]([cH:11]1)[N:9]([C:12](=[O:13])[O:14][CH2:15][CH3:16])[CH:8]([CH3:17])[CH2:7][N:6]3[CH:18]1[CH:19]2[CH2:20][N:21]([C:24](=[O:25])[O:26][CH2:27][CH3:28])[CH2:22][CH2:23]1,OB(O)[c:31]1[c:30]([Cl:29])[cH:35][c:34]([Cl:36])[cH:33][cH:32]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=C([O-])O.[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",CN(C)C=O.CCOC(C)=O,29.0,0
2256,US06492385B2,Br[c:2]1[cH:3][cH:4][c:5]([CH:7]=[O:8])[s:6]1,OB(O)[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",O,91.0,0
2257,US06573286B1,Br[c:2]1[cH:3][cH:4][c:5]([C@H:8]2[N:9]=[C:10]([c:14]3[c:15]([F:21])[cH:16][cH:17][cH:18][c:19]3[F:20])[O:11][C@H:12]2[CH3:13])[cH:6][cH:7]1,OB(O)[c:28]1[cH:27][cH:26][c:25]([O:24][C:23]([F:22])([F:34])[F:35])[cH:30][cH:29]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",O.CCO,31.0,0
2258,US06576762B2,I[c:6]1[c:5]([C:3]([NH:2][CH3:1])=[O:4])[cH:10][n:9][c:8]([N:11]2[CH2:12][CH2:13][CH:14]([O:17][Si:18]([CH3:19])([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24])[CH2:15][CH2:16]2)[cH:7]1,OB(O)[c:28]1[c:27]([Cl:26])[cH:32][cH:31][cH:30][cH:29]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=C([O-])[O-].[Na+].[Na+],[Cl-].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",O.CCOC(C)=O.COCCOC,91.5,0
2259,US06579874B2,Br[c:2]1[n:3][c:4](-[c:22]2[cH:23][cH:24][c:25]([F:28])[cH:26][cH:27]2)[n:5](-[c:7]2[n:8][c:9]([NH:13][C@@H:14]([CH3:15])[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[n:10][cH:11][cH:12]2)[cH:6]1,OB(O)[c:31]1[cH:30][s:29][cH:33][cH:32]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",CCOC(C)=O.C1COCCO1,60.0,0
2260,US06583156B1,Br[c:2]1[cH:3][c:4]([C:16]([F:17])([F:18])[F:19])[n:5][c:6]2[c:7]([C:12]([F:13])([F:14])[F:15])[cH:8][cH:9][cH:10][c:11]12,OB(O)[c:21]1[o:20][c:24]2[c:23]([cH:22]1)[cH:28][cH:27][cH:26][cH:25]2,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.COCCOC,64.0,0
2261,US06583135B2,Br[c:16]1[cH:15][c:14]2[nH:13][c:12]3[c:20]([c:19]2[cH:18][cH:17]1)[CH2:21][CH2:22][N:9]([C:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)=[O:8])[CH2:10][CH2:11]3,OB(O)[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],COCCOC,36.0,0
2262,US06583135B2,Br[c:17]1[cH:16][cH:15][c:14]2[nH:13][c:12]3[c:20]([c:19]2[cH:18]1)[CH2:21][CH2:22][N:9]([C:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)=[O:8])[CH2:10][CH2:11]3,OB(O)[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],COCCOC,56.0,0
2263,US06583135B2,Br[c:17]1[cH:16][cH:15][c:14]2[nH:13][c:12]3[c:20]([c:19]2[cH:18]1)[CH2:21][CH2:22][N:9]([C:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)=[O:8])[CH2:10][CH2:11]3,OB(O)[c:29]1[cH:28][cH:27][c:26]([O:25][CH3:24])[cH:31][cH:30]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],COCCOC,37.0,0
2264,US06583135B2,Br[c:18]1[cH:17][cH:16][cH:15][c:14]2[nH:13][c:12]3[c:20]([c:19]21)[CH2:21][CH2:22][N:9]([C:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)=[O:8])[CH2:10][CH2:11]3,OB(O)[c:26]1[c:25]([F:24])[cH:30][cH:29][cH:28][cH:27]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],COCCOC,43.0,0
2265,US06583135B2,Br[c:18]1[cH:17][cH:16][cH:15][c:14]2[nH:13][c:12]3[c:20]([c:19]21)[CH2:21][CH2:22][N:9]([C:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)=[O:8])[CH2:10][CH2:11]3,OB(O)[c:27]1[cH:26][c:25]([F:24])[cH:30][c:29]([F:31])[cH:28]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],COCCOC,100.0,0
